segment,sub_sector,organisatie,url_homepage,url_support,url_product
Culturele sector,Musea,Rijksmuseum,https://www.rijksmuseum.nl,,
Culturele sector,Musea,Van Gogh Museum,https://www.vangoghmuseum.nl,,
Culturele sector,Musea,Anne Frank Huis,https://www.annefrank.org,,
Culturele sector,Musea,Stedelijk Museum Amsterdam,https://www.stedelijk.nl,,
Culturele sector,Musea,NEMO,https://www.nemosciencemuseum.nl,,
Culturele sector,Musea,Het Scheepvaartmuseum,https://www.hetscheepvaartmuseum.nl,,
Culturele sector,Musea,Wereld Museum Amsterdam,https://amsterdam.wereldmuseum.nl/,,
Culturele sector,Musea,Eye Filmmuseum,https://www.eyefilm.nl,,
Culturele sector,Musea,Moco Amsterdam,https://www.mocomuseum.com,,
Culturele sector,Musea,Hermitage Amsterdam,https://www.hartmuseum.nl,,
Culturele sector,Musea,Mauritshuis,https://www.mauritshuis.nl,,
Culturele sector,Musea,Kunstmuseum Den Haag,https://www.kunstmuseum.nl,,
Culturele sector,Musea,Escher in Het Paleis,https://www.escherinhetpaleis.nl,,
Culturele sector,Musea,Museum Boijmans Van Beuningen,https://www.boijmans.nl,,
Culturele sector,Musea,Kunsthal Rotterdam,https://www.kunsthal.nl,,
Culturele sector,Musea,Maritiem Museum Rotterdam,https://www.maritiemmuseum.nl,,
Culturele sector,Musea,Nederlands Fotomuseum,https://www.nederlandsfotomuseum.nl,,
Culturele sector,Musea,Belasting & Douane Museum,https://www.bdmuseum.nl,,
Culturele sector,Musea,Spoorwegmuseum,https://www.spoorwegmuseum.nl,,
Culturele sector,Musea,Centraal Museum,https://www.centraalmuseum.nl,,
Culturele sector,Musea,Museum Speelklok,https://www.museumspeelklok.nl,,
Culturele sector,Musea,Nederlands Openluchtmuseum,https://www.openluchtmuseum.nl,,
Culturele sector,Musea,Kröller-Müller Museum,https://krollermuller.nl,,
Culturele sector,Musea,Fries Museum,https://www.friesmuseum.nl,,
Culturele sector,Musea,Groninger Museum,https://www.groningermuseum.nl,,
Culturele sector,Musea,Drents Museum,https://drentsmuseum.nl,,
Culturele sector,Musea,Naturalis Biodiversity Center,https://www.naturalis.nl,,
Culturele sector,Musea,Corpus,https://corpusexperience.nl,,
Culturele sector,Musea,Zuiderzeemuseum,https://www.zuiderzeemuseum.nl,,
Culturele sector,Musea,Batavialand,https://www.batavialand.nl,,
Culturele sector,Musea,Museum de Fundatie,https://www.museumdefundatie.nl,,
Culturele sector,Musea,De Pont,https://depont.nl,,
Culturele sector,Podia en theaters,Internationaal Theater Amsterdam,https://ita.nl,,
Culturele sector,Podia en theaters,Koninklijk Theater Carré,https://carre.nl,,
Culturele sector,Podia en theaters,DeLaMar,https://delamar.nl,,
Culturele sector,Podia en theaters,TivoliVredenburg,https://www.tivolivredenburg.nl,,
Culturele sector,Podia en theaters,AFAS Live,https://www.afaslive.nl,,
Culturele sector,Podia en theaters,Paradiso,https://www.paradiso.nl,,
Culturele sector,Podia en theaters,Melkweg,https://www.melkweg.nl,,
Culturele sector,Podia en theaters,013,https://www.013.nl,,
Culturele sector,Podia en theaters,Doornroosje,https://www.doornroosje.nl,,
Culturele sector,Podia en theaters,Rotown,https://www.rotown.nl,,
Culturele sector,Podia en theaters,Luxor Theater,https://www.luxortheater.nl,,
