segment,sub_sector,organisatie,url_homepage,url_support,url_product,url_support_method,url_support_score,url_support_note
E-commerce,Elektronica / gadgets,123inkt,https://www.123inkt.nl,https://www.123inkt.nl/help,,heuristic,8,"linktekst: ""123inkt.nl/help"""
E-commerce,Elektronica / gadgets,Allekabels,https://www.allekabels.nl,https://www.allekabels.nl/x/customer-service,,heuristic,10,"linktekst: ""7 Dagen klantenservice"""
E-commerce,Elektronica / gadgets,Apple,https://www.apple.com/nl,https://support.apple.com/nl-nl/mac?cid=gn-ols-mac-psp-prodfly,,heuristic,9,"linktekst: ""Support voor Mac"""
E-commerce,Elektronica / gadgets,Cameranu,https://www.cameranu.nl,https://www.cameranu.nl/klantenservice,,heuristic,10,"linktekst: ""Klantenservice"""
E-commerce,Elektronica / gadgets,Coolblue,https://www.coolblue.nl,,,none,0,llm: no pick
E-commerce,Elektronica / gadgets,MediaMarkt,https://www.mediamarkt.nl,https://www.mediamarkt.nl/nl/service/klantenservice,,heuristic,10,"linktekst: ""Klantenservice"""
E-commerce,Elektronica / telecom,Smartphonehoesjes.nl,https://www.smartphonehoesjes.nl,https://www.smartphonehoesjes.nl/klantenservice/,,heuristic,10,"linktekst: ""Service"""
E-commerce,Huis / klussen,Beter Bed,https://www.beterbed.nl,https://www.beterbed.nl/Klantenservice,,heuristic,10,"linktekst: ""Klantenservice"""
E-commerce,Huis / klussen,Gamma,https://www.gamma.nl,,,none,0,llm: no pick
E-commerce,Huis / klussen,Hornbach,https://www.hornbach.nl,https://www.hornbach.nl/services/vraag-contact/,,llm,0,Vraag-&-contact-pagina is de duidelijkste klantenservice/FAQ-sectie waar instructievideo's te verwachten zijn.
E-commerce,Huis / klussen,IKEA,https://www.ikea.com/nl/nl,https://www.ikea.com/nl/nl/customer-service/services/,,heuristic,10,"linktekst: ""Services"""
E-commerce,Huis / klussen,Intratuin,https://www.intratuin.nl,https://www.intratuin.nl/klantenservice/faq-mijn-bestelling#bestelling-levertijd,,heuristic,10,"linktekst: ""Vandaag besteld binnen 1-3 dagen bezorgd*"""
E-commerce,Huis / klussen,Jysk,https://jysk.nl,https://jysk.nl/customer-service,,heuristic,10,"linktekst: ""Klantenservice"""
E-commerce,Huis / klussen,Karwei,https://www.karwei.nl,,,none,0,llm: no pick
E-commerce,Huis / klussen,Kwantum,https://www.kwantum.nl,https://www.kwantum.nl/informatie-en-service/klantenservice,,heuristic,10,"linktekst: ""Klantenservice"""
E-commerce,Huis / klussen,Leen Bakker,https://www.leenbakker.nl,https://www.leenbakker.nl/klantenservice,,heuristic,10,"linktekst: ""Klantenservice"""
E-commerce,Huis / klussen,Praxis,https://www.praxis.nl,https://www.praxis.nl/service/klantenservice,,heuristic,10,"linktekst: ""Ga naar onze klantenservice"""
E-commerce,Huis / klussen,Roobol,https://www.roobol.com,https://www.roobol.com/klantenservice/,,heuristic,10,"linktekst: ""Service"""
E-commerce,Huis / klussen,Toolstation,https://www.toolstation.nl,https://www.toolstation.nl/contact,,heuristic,10,"linktekst: ""Klantenservice"""
E-commerce,Huis / klussen,VidaXL,https://www.vidaxl.nl,,,none,0,llm: no pick
E-commerce,Marktplaatsen,Amazon Nederland,https://www.amazon.nl,https://www.amazon.nl/gp/help/customer/display.html?nodeId=508510&ref_=nav_cs_help,,heuristic,10,"linktekst: ""Klantenservice"""
E-commerce,Marktplaatsen,Bol,https://www.bol.com,https://www.bol.com/nl/nl/inf/wat-is-de-beste-e-reader-voor-jou/43679/,,heuristic,8,"linktekst: ""Hulp bij aankoop van je e-reader"""
E-commerce,Marktplaatsen,Marktplaats,https://www.marktplaats.nl,https://help.marktplaats.nl/s/,,heuristic,8,"linktekst: ""Help en info"""
