segment,sub_sector,organisatie,url_homepage,url_support,url_product
E-commerce,Elektronica / gadgets,123inkt,https://www.123inkt.nl,,
E-commerce,Elektronica / gadgets,Allekabels,https://www.allekabels.nl,,
E-commerce,Elektronica / gadgets,Apple,https://www.apple.com/nl,,
E-commerce,Elektronica / gadgets,Cameranu,https://www.cameranu.nl,,
E-commerce,Elektronica / gadgets,Coolblue,https://www.coolblue.nl,,
E-commerce,Elektronica / gadgets,MediaMarkt,https://www.mediamarkt.nl,,
E-commerce,Elektronica / telecom,Smartphonehoesjes.nl,https://www.smartphonehoesjes.nl,,
E-commerce,Huis / klussen,Beter Bed,https://www.beterbed.nl,,
E-commerce,Huis / klussen,Gamma,https://www.gamma.nl,,
E-commerce,Huis / klussen,Hornbach,https://www.hornbach.nl,,
E-commerce,Huis / klussen,IKEA,https://www.ikea.com/nl/nl,,
E-commerce,Huis / klussen,Intratuin,https://www.intratuin.nl,,
E-commerce,Huis / klussen,Jysk,https://jysk.nl,,
E-commerce,Huis / klussen,Karwei,https://www.karwei.nl,,
E-commerce,Huis / klussen,Kwantum,https://www.kwantum.nl,,
E-commerce,Huis / klussen,Leen Bakker,https://www.leenbakker.nl,,
E-commerce,Huis / klussen,Praxis,https://www.praxis.nl,,
E-commerce,Huis / klussen,Roobol,https://www.roobol.com,,
E-commerce,Huis / klussen,Toolstation,https://www.toolstation.nl,,
E-commerce,Huis / klussen,VidaXL,https://www.vidaxl.nl,,
E-commerce,Marktplaatsen,Amazon Nederland,https://www.amazon.nl,,
E-commerce,Marktplaatsen,Bol,https://www.bol.com,,
E-commerce,Marktplaatsen,Marktplaats,https://www.marktplaats.nl,,
E-commerce,Marktplaatsen,Vinted,https://www.vinted.nl,,
E-commerce,Cadeaus,Albelli,https://www.albelli.nl,,
E-commerce,Cadeaus,Topbloemen,https://topbloemen.nl/,,
E-commerce,Cadeaus,Boekenvoordeel,https://www.boekenvoordeel.nl,,
E-commerce,Cadeaus,Greetz,https://www.greetz.nl,,
E-commerce,Mode,About You,https://www.aboutyou.nl,,
E-commerce,Mode,ASOS,https://www.asos.com/nl,,
E-commerce,Mode,C&A,https://www.c-and-a.com/nl/nl,,
E-commerce,Mode,G-Star RAW,https://www.g-star.com/nl_nl,,
E-commerce,Mode,H&M,https://www2.hm.com/nl_nl,,
E-commerce,Mode,Hunkemöller,https://www.hunkemoller.nl,,
E-commerce,Mode,Kleertjes.com,https://www.kleertjes.com,,
E-commerce,Mode,Lucardi,https://www.lucardi.nl,,
E-commerce,Mode,Nelson,https://www.nelson.nl,,
E-commerce,Mode,Omoda,https://www.omoda.nl,,
E-commerce,Mode,Scapino,https://www.scapino.nl,,
E-commerce,Mode,The Sting,https://www.thesting.com/nl-nl,,
E-commerce,Mode,WE Fashion,https://www.wefashion.nl,,
E-commerce,Mode,Wehkamp,https://www.wehkamp.nl,,
E-commerce,Mode,Zalando,https://www.zalando.nl,,
E-commerce,Mode,Zara,https://www.zara.com/nl,,
E-commerce,Mode,Zeeman,https://www.zeeman.com/nl,,
E-commerce,Sport,Adidas,https://www.adidas.nl,,
E-commerce,Sport,Bever,https://www.bever.nl,,
E-commerce,Sport,Decathlon,https://www.decathlon.nl,,
E-commerce,Sport,Foot Locker,https://www.footlocker.nl,,
E-commerce,Sport,JD Sports,https://www.jdsports.nl,,
E-commerce,Sport,Nike,https://www.nike.com/nl,,
E-commerce,Sportvoeding,Upfront,https://upfront.nl/,,
E-commerce,Sportvoeding,XXL Nutrition,https://xxlnutrition.com/nl,,
E-commerce,Supermarkt,Albert Heijn Online,https://www.ah.nl,,
E-commerce,Supermarkt,Dirk,https://www.dirk.nl,,
E-commerce,Supermarkt,Gall & Gall,https://www.gall.nl,,
E-commerce,Supermarkt,HelloFresh,https://www.hellofresh.nl,,
E-commerce,Supermarkt,Jumbo,https://www.jumbo.com,,
E-commerce,Supermarkt,Nespresso,https://www.nespresso.com/nl,,
E-commerce,Supermarkt,Picnic,https://picnic.app/nl,,
E-commerce,Supermarkt,Plus,https://www.plus.nl,,
E-commerce,Supermarkt,Thuisbezorgd,https://www.thuisbezorgd.nl,,
E-commerce,Supermarkt,Hoogvliet,https://www.hoogvliet.com/,,
E-commerce,Supermarkt,Douglas,https://www.douglas.nl,,
E-commerce,Verzorging / gezondheid,Etos,https://www.etos.nl,,
E-commerce,Verzorging / gezondheid,Holland & Barrett,https://www.hollandandbarrett.nl,,
E-commerce,Verzorging / gezondheid,ICI Paris XL,https://www.iciparisxl.nl,,
E-commerce,Verzorging / gezondheid,Kruidvat,https://www.kruidvat.nl,,
E-commerce,Verzorging / gezondheid,Pearle,https://www.pearle.nl,,
E-commerce,Verzorging / gezondheid,Specsavers,https://www.specsavers.nl,,
E-commerce,Warenhuizen,Action,https://www.action.com/nl-nl,,
E-commerce,Warenhuizen,De Bijenkorf,https://www.debijenkorf.nl,,
E-commerce,Warenhuizen,HEMA,https://www.hema.nl,,
E-commerce,Warenhuizen,Wibra,https://www.wibra.nl,,
