segment,sub_sector,organisatie,url_homepage,url_support,url_product,url_support_method,url_support_score,url_support_note
Energie en nutsbedrijven,Energie,ANWB,https://www.anwb.nl/energie,https://www.anwb.nl/energie/veelgestelde-vragen-anwb-energie,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Energie en nutsbedrijven,Energie + Telco,Budget thuis,https://www.budgetthuis.nl,https://www.budgetthuis.nl/klantenservice,,heuristic,10,"linktekst: ""Service & Contact"""
Energie en nutsbedrijven,Energie,Clean Energy,https://www.cleanenergy.nl,https://www.cleanenergy.nl/klantenservice,,heuristic,10,"linktekst: ""Klantenservice"""
Energie en nutsbedrijven,Energie,Clean Energy Dynamics,https://www.ce-dynamics.nl,https://www.ce-dynamics.nl/klantenservice,,heuristic,10,"linktekst: ""Klantenservice"""
Energie en nutsbedrijven,Energie,Coolblue Energie,https://www.coolblue.nl/energie,https://www.coolblue.nl/energiecontracten/klantenservice,,heuristic,10,"linktekst: ""Klantenservice"""
Energie en nutsbedrijven,Energie + Telco,Delta Energie,https://www.delta.nl,https://www.delta.nl/klantenservice/,,heuristic,10,"linktekst: ""Klantenservice overzicht"""
Energie en nutsbedrijven,Energie,EasyEnergy,https://www.easyenergy.com,https://www.easyenergy.com/klantenservice,,heuristic,10,"linktekst: ""klantenservice"""
Energie en nutsbedrijven,Energie,Eneco,https://www.eneco.nl,https://www.eneco.nl/klantenservice/,,heuristic,10,"linktekst: ""Klantenservice"""
Energie en nutsbedrijven,Energie,Energie VanOns,https://energie.vanons.org,https://energie.vanons.org/contact/,,heuristic,10,"linktekst: ""Klantenservice"""
Energie en nutsbedrijven,Energie,Energiedirect.nl,https://www.energiedirect.nl,https://www.energiedirect.nl/klantenservice,,heuristic,10,"linktekst: ""Vraag & antwoord"""
Energie en nutsbedrijven,Energie,Energiek,https://www.energiek.nl,https://www.energiek.nl/klantenservice/opzegvergoeding,,heuristic,10,"linktekst: ""hier"""
Energie en nutsbedrijven,Energie,Energyzero,https://www.energyzero.nl,,,none,0,llm: no pick
Energie en nutsbedrijven,Energie,ENGIE,https://www.engie.nl,https://www.engie.nl/klantenservice,,heuristic,10,"linktekst: ""Klantenservice"""
Energie en nutsbedrijven,Energie,Essent,https://www.essent.nl,https://www.essent.nl/klantenservice/facturen-en-betalen,,heuristic,10,"linktekst: ""Facturen en betalen"""
Energie en nutsbedrijven,Energie,Frank Energie,https://www.frankenergie.nl,https://www.frankenergie.nl/nl/klantenservice,,heuristic,10,"linktekst: ""Klantenservice"""
Energie en nutsbedrijven,Energie,Frank Energie Dynamisch,https://www.frankenergie.nl/nl/dynamisch-energiecontract,https://klantenservice.frankenergie.nl/hc/nl-nl,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
