segment,sub_sector,organisatie,url_homepage,url_support,url_product
Energie en nutsbedrijven,Energie,ANWB,https://www.anwb.nl/energie,,
Energie en nutsbedrijven,Energie + Telco,Budget thuis,https://www.budgetthuis.nl,,
Energie en nutsbedrijven,Energie,Clean Energy,https://www.cleanenergy.nl,,
Energie en nutsbedrijven,Energie,Clean Energy Dynamics,https://www.ce-dynamics.nl,,
Energie en nutsbedrijven,Energie,Coolblue Energie,https://www.coolblue.nl/energie,,
Energie en nutsbedrijven,Energie + Telco,Delta Energie,https://www.delta.nl,,
Energie en nutsbedrijven,Energie,EasyEnergy,https://www.easyenergy.com,,
Energie en nutsbedrijven,Energie,Eneco,https://www.eneco.nl,,
Energie en nutsbedrijven,Energie,Energie VanOns,https://energie.vanons.org,,
Energie en nutsbedrijven,Energie,Energiedirect.nl,https://www.energiedirect.nl,,
Energie en nutsbedrijven,Energie,Energiek,https://www.energiek.nl,,
Energie en nutsbedrijven,Energie,Energyzero,https://www.energyzero.nl,,
Energie en nutsbedrijven,Energie,ENGIE,https://www.engie.nl,,
Energie en nutsbedrijven,Energie,Essent,https://www.essent.nl,,
Energie en nutsbedrijven,Energie,Frank Energie,https://www.frankenergie.nl,,
Energie en nutsbedrijven,Energie,Frank Energie Dynamisch,https://www.frankenergie.nl/nl/dynamisch-energiecontract,,
Energie en nutsbedrijven,Energie,Gewoon Energie,https://gewoonenergie.nl,,
Energie en nutsbedrijven,Energie,Greenchoice,https://www.greenchoice.nl,,
Energie en nutsbedrijven,Energie,Greenchoice Dynamisch,https://www.greenchoice.nl/stroom-en-gas/dynamisch-energiecontract/,,
Energie en nutsbedrijven,Energie,HalloStroom,https://www.hallostroom.nl,,
Energie en nutsbedrijven,Energie,Hegg Energy,https://hegg.energy,,
Energie en nutsbedrijven,Energie,Innova Energie,https://www.innovaenergie.nl,https://VolgensmijalleenB2B,
Energie en nutsbedrijven,Energie,Mega,https://www.mega.nl,,
Energie en nutsbedrijven,Energie,NextEnergy,https://www.nextenergy.nl,,
Energie en nutsbedrijven,Energie,Noord Energie,https://noordenergie.nl,,
Energie en nutsbedrijven,Energie,om | nieuwe energie,https://www.samenom.nl,,
Energie en nutsbedrijven,Energie,Oxxio,https://www.oxxio.nl,,
Energie en nutsbedrijven,Energie,Powerpeers,https://powerpeers.nl,,
Energie en nutsbedrijven,Energie,Pure Energie,https://pure-energie.nl,,
Energie en nutsbedrijven,Energie,Tibber,https://tibber.com/nl,,
Energie en nutsbedrijven,Energie,United Consumers,https://www.unitedconsumers.com/energie,,
Energie en nutsbedrijven,Energie,Unive via Greenchoice,https://www.unive.nl/energie,,
Energie en nutsbedrijven,Energie,Vandebron,https://vandebron.nl,,
Energie en nutsbedrijven,Energie,Vattenfall,https://www.vattenfall.nl,,
Energie en nutsbedrijven,Energie,Vrijopnaam,https://www.vrijopnaam.nl,,
Energie en nutsbedrijven,Energie,Zonneplan,https://www.zonneplan.nl,,
Energie en nutsbedrijven,Netbeheer,Liander,https://www.liander.nl,,
Energie en nutsbedrijven,Netbeheer,Enexis,https://www.enexis.nl,,
Energie en nutsbedrijven,Netbeheer,Stedin,https://www.stedin.net,,
Energie en nutsbedrijven,Netbeheer,Coteq,https://coteqnetbeheer.nl,,
Energie en nutsbedrijven,Netbeheer,RENDO,https://www.rendonetwerken.nl,,
Energie en nutsbedrijven,Netbeheer,Westland Infra,https://westlandinfra.nl,,
Energie en nutsbedrijven,Telco,KPN,https://www.kpn.com,,
Energie en nutsbedrijven,Telco,Ziggo,https://www.ziggo.nl,,
Energie en nutsbedrijven,Telco,Odido,https://www.odido.nl,,
Energie en nutsbedrijven,Telco,Caiway,https://www.caiway.nl,,
Energie en nutsbedrijven,Telco,Online.nl,https://www.online.nl,,
Energie en nutsbedrijven,Telco,Freedom Internet,https://freedom.nl,,
Energie en nutsbedrijven,Telco,Youfone,https://www.youfone.nl,,
Energie en nutsbedrijven,Telco,Vodafone,https://www.vodafone.nl,,
Energie en nutsbedrijven,Telco,50plug Mobiel,https://www.50plusmobiel.nl,,
Energie en nutsbedrijven,Telco,Den,https://www.ben.nl,,
Energie en nutsbedrijven,Telco,Budget Mobiel,https://www.budgetthuis.nl/mobiel,,
Energie en nutsbedrijven,Telco,HollandseNieuwe,https://www.hollandsnieuwe.nl,,
Energie en nutsbedrijven,Telco,Lebara,https://www.lebara.nl,,
Energie en nutsbedrijven,Telco,Simpel,https://www.simpel.nl,,
Energie en nutsbedrijven,Telco,Simyo,https://www.simyo.nl,,
Energie en nutsbedrijven,Drinkwaterbedrijven,Vitens,https://www.vitens.nl,,
Energie en nutsbedrijven,Drinkwaterbedrijven,PWN,https://www.pwn.nl,,
Energie en nutsbedrijven,Drinkwaterbedrijven,Evides,https://www.evides.nl,,
Energie en nutsbedrijven,Drinkwaterbedrijven,BrabantWater,https://www.brabantwater.nl,,
Energie en nutsbedrijven,Drinkwaterbedrijven,Waternet,https://www.waternet.nl,,
Energie en nutsbedrijven,Drinkwaterbedrijven,Dunea,https://www.dunea.nl,,
Energie en nutsbedrijven,Drinkwaterbedrijven,WML,https://www.wml.nl,,
Energie en nutsbedrijven,Drinkwaterbedrijven,Oasen,https://www.oasen.nl,,
Energie en nutsbedrijven,Drinkwaterbedrijven,Waterbedrijf groningen,https://waterbedrijfgroningen.nl,,
Energie en nutsbedrijven,Drinkwaterbedrijven,WMD,https://wmd.nl,,
