segment,sub_sector,organisatie,url_homepage,url_support,url_product
Financiele sector,Crypto,Bitvavo,https://bitvavo.com/nl,,
Financiele sector,Crypto,Coinmerce,https://coinmerce.io/nl/,,
Financiele sector,Crypto,Blox,https://weareblox.com/nl-nl,,
Financiele sector,Crypto,Finst,https://finst.com/nl,,
Financiele sector,Lease bedrijven,Ayvens,https://www.ayvens.com/nl-nl/,,
Financiele sector,Lease bedrijven,Volkswagen Pon Financial Services,https://www.poncenter.nl/private-lease,,
Financiele sector,Lease bedrijven,International Car Lease Holding,https://www.vanmossel.nl/privelease/,,
Financiele sector,Lease bedrijven,Athlon,https://www.athlon.com/nl/,,
Financiele sector,Lease bedrijven,BMW Financial Services/Alphabet,https://www.alphabet.com/nl-nl.html,,
Financiele sector,Lease bedrijven,Hiltermann Lease,https://www.hiltermannlease.nl/autolease/private-lease,,
Financiele sector,Lease bedrijven,Arval | Justlease,https://justlease.nl/aanbod,,
Financiele sector,Lease bedrijven,Mercedes-Benz Financial Services,https://www.mercedes-benz.nl/,,
Financiele sector,Lease bedrijven,Toyota Louwman Financial Services,https://www.louwman.nl/leasen/private-lease,,
Financiele sector,Lease bedrijven,Stellantis Financial Services,https://www.stellantis-financialservices.nl/,,
Financiele sector,Consumenten banken,Revolut,https://www.revolut.com/nl-NL/,,
Financiele sector,Consumenten banken,ASN Bank,https://www.asnbank.nl/home.html,,
Financiele sector,Consumenten banken,Knab,https://www.knab.nl/particulier,,
Financiele sector,Consumenten banken,Triodos,https://www.triodos.nl/,,
Financiele sector,Consumenten banken,bunq,https://www.bunq.com/nl-nl/,,
Financiele sector,Consumenten banken,Rabobank,https://www.rabobank.nl/particulieren,,
Financiele sector,Consumenten banken,ABN AMRO,https://www.abnamro.nl/nl/prive/index.html,,
Financiele sector,Consumenten banken,ING,https://www.ing.nl/particulier,,
Financiele sector,Consumenten banken,nibc,https://nibc.nl/particulieren,,
Financiele sector,Consumenten banken,YapiKredi,https://www.yapikredi.nl/,,
Financiele sector,Consumenten banken,van Lanschot,https://www.vanlanschotkempen.com/nl-nl/private-banking,,
Financiele sector,Consumenten banken,NN,https://www.nn.nl/Particulier/Sparen.htm,,
Financiele sector,Consumenten banken,Evi van Lanschot,https://www.evivanlanschot.nl/,,
Financiele sector,Consumenten banken,Argenta,https://www.argenta.nl/,,
Financiele sector,Consumenten banken,Anadolu,https://www.anadolubank.nl/,,
Financiele sector,Consumenten banken,Ayvens,https://www.ayvensbank.nl/,,
Financiele sector,Consumenten banken,Lloyds,https://www.lloydsbank.nl/sparen,,
Financiele sector,Consumenten banken,Openbank,https://www.openbank.nl/,,
Financiele sector,Consumenten banken,Brand New Day,https://new.brandnewday.nl/spaarrekening/,,
Financiele sector,Consumenten banken,MeDirect,https://www.medirect.nl/,,
Financiele sector,Consumenten banken,Nexent,https://www.nexentbank.nl/,,
Financiele sector,Verzekeraars,DAS,https://www.das.nl/,,
Financiele sector,Verzekeraars,ASR,https://www.asr.nl/,,
Financiele sector,Verzekeraars,Menzis,https://www.menzis.nl/,,
Financiele sector,Verzekeraars,CZ,https://www.cz.nl/,,
