segment,sub_sector,organisatie,url_homepage,url_support,url_product
Onderwijs,Opleiding vergelijken,Springest,https://www.springest.nl/,,
Onderwijs,Opleiding vergelijken,Leeroverzicht,https://www.leeroverzicht.nl/,,
Onderwijs,Opleiding vergelijken,Studiekeuze123,https://www.studiekeuze123.nl/,,
Onderwijs,Opleiding vergelijken,KiesMBO,https://www.kiesmbo.nl/,,
Onderwijs,Opleiding vergelijken,Keuzegids,https://www.keuzegids.nl/,,
Onderwijs,Opleiding vergelijken,Opleiding.nl,https://www.opleiding.nl/,,
Onderwijs,Opleiding vergelijken,Qompas,https://www.qompas.nl/,,
Onderwijs,Universitair,Universiteit van Amsterdam,https://www.uva.nl/,,
Onderwijs,Universitair,Vrije Universiteit Amsterdam,https://vu.nl/nl,,
Onderwijs,Universitair,Universiteit Utrecht,https://www.uu.nl/,,
Onderwijs,Universitair,Universiteit Leiden,https://www.universiteitleiden.nl/,,
Onderwijs,Universitair,Rijksuniversiteit Groningen,https://www.rug.nl/,,
Onderwijs,Universitair,Erasmus Universiteit Rotterdam,https://www.eur.nl/,,
Onderwijs,Universitair,Radboud Universiteit,https://www.ru.nl/,,
Onderwijs,Universitair,Maastricht University,https://www.maastrichtuniversity.nl/,,
Onderwijs,Universitair,Tilburg University,https://www.tilburguniversity.edu/,,
Onderwijs,Universitair,Wageningen University & Research,https://www.wur.nl/,,
Onderwijs,Universitair,Technische Universiteit Delft,https://www.tudelft.nl/,,
Onderwijs,Universitair,Technische Universiteit Eindhoven,https://www.tue.nl/,,
Onderwijs,Universitair,Universiteit Twente,https://www.utwente.nl/,,
Onderwijs,Universitair,Open Universiteit,https://www.ou.nl/,,
Onderwijs,HBO,Hogeschool van Amsterdam,https://www.hva.nl/,,
Onderwijs,HBO,Fontys Hogeschool,https://www.fontys.nl/,,
Onderwijs,HBO,Hogeschool Utrecht,https://www.hu.nl/,,
Onderwijs,HBO,Hogeschool Rotterdam,https://www.hogeschoolrotterdam.nl/,,
Onderwijs,HBO,Hogeschool van Arnhem en Nijmegen,https://www.han.nl/,,
Onderwijs,HBO,Avans Hogeschool,https://www.avans.nl/,,
Onderwijs,HBO,Hanzehogeschool Groningen,https://www.hanze.nl/,,
Onderwijs,HBO,Christelijke Hogeschool Windesheim,https://www.windesheim.nl/,,
Onderwijs,HBO,Saxion Hogeschool,https://www.saxion.nl/,,
Onderwijs,HBO,De Haagse Hogeschool,https://www.dehaagsehogeschool.nl/,,
Onderwijs,HBO,Hogeschool Inholland,https://www.inholland.nl/,,
Onderwijs,HBO,NHL Stenden Hogeschool,https://www.nhlstenden.com/,,
Onderwijs,HBO,Zuyd Hogeschool,https://www.zuyd.nl/,,
Onderwijs,HBO,Hogeschool Leiden,https://www.hsleiden.nl/,,
Onderwijs,HBO,Breda University of Applied Sciences,https://www.buas.nl/,,
Onderwijs,MBO,ROC van Amsterdam,https://www.rocva.nl/,,
Onderwijs,MBO,Firda,https://www.firda.nl/,,
Onderwijs,MBO,Albeda,https://www.albeda.nl/,,
Onderwijs,MBO,ROC Mondriaan,https://www.rocmondriaan.nl/,,
Onderwijs,MBO,Zadkine,https://www.zadkine.nl/,,
Onderwijs,MBO,ROC Midden Nederland,https://www.rocmn.nl/,,
Onderwijs,MBO,Koning Willem I College,https://www.kw1c.nl/,,
Onderwijs,MBO,ROC van Twente,https://www.rocvantwente.nl/,,
Onderwijs,MBO,Summa College,https://www.summacollege.nl/,,
Onderwijs,MBO,Deltion College,https://www.deltion.nl/,,
Onderwijs,MBO,Talland College,https://www.talland.nl/,,
Onderwijs,MBO,mboRijnland,https://mborijnland.nl/,,
Onderwijs,MBO,Curio,https://www.curio.nl/,,
Onderwijs,MBO,Noorderpoort,https://www.noorderpoort.nl/,,
Onderwijs,MBO,ROC Nova College,https://www.novacollege.nl/,,
