segment,sub_sector,organisatie,url_homepage,url_support,url_product
Reis en vakantie,Accomodaties,AirBNB,https://www.airbnb.nl/,,
Reis en vakantie,Vervoer,nightjet,https://www.nightjet.com/nl/#/home,,
Reis en vakantie,Vervoer,NS,https://www.ns.nl/,,
Reis en vakantie,Overig,social deal,https://www.socialdeal.nl/#join,,
Reis en vakantie,Vervoer,NS International,https://www.nsinternational.com/,,
Reis en vakantie,Overig,9292,https://9292.nl/,,
Reis en vakantie,Vervoer,Eurostar,https://www.eurostar.com/nl-nl,,
Reis en vakantie,Vervoer,BlaBlaCar,https://www.blablacar.nl/,,
Reis en vakantie,Accomodaties,Ibis,https://ibis.accor.com/nl.html,,
Reis en vakantie,Accomodaties,natuurhuisje.nl,https://www.natuurhuisje.nl/,,
Reis en vakantie,Accomodaties,Booking.com,https://Booking.com,,
Reis en vakantie,Vervoer,FlixBus,https://www.flixbus.nl/,,
Reis en vakantie,Reisbureaus,ANWB Reizen,https://www.anwb.nl/vakantie/reizen-van-anwb,,
Reis en vakantie,Reisbureaus,De Jong Intra Vakanties,https://www.dejongintra.nl/,,
Reis en vakantie,Deelvervoer,Uber,https://www.uber.com/nl/nl/,,
Reis en vakantie,Deelvervoer,Greenwheels,https://www.greenwheels.com/,,
Reis en vakantie,Vervoer,interrail,https://www.interrail.eu/nl,,
Reis en vakantie,Reisbureaus,Kras reizen,http://kras.reisaanbod.nl/,,
Reis en vakantie,Overig,getyourguide,https://www.getyourguide.com/nl-nl/,,
Reis en vakantie,Deelvervoer,roadsurfer,https://roadsurfer.com/nl/,,
Reis en vakantie,Vervoer,Transavia,https://www.transavia.com/home/nl-nl,,
Reis en vakantie,Reisbureaus,TravelBird,https://travelbird.nl/,,
Reis en vakantie,Deelvervoer,Bolt,https://bolt.eu/nl-nl/,,
Reis en vakantie,Accomodaties,Zoover,https://www.zoover.nl/,,
Reis en vakantie,Accomodaties,Hotels.com,https://nl.hotels.com/,,
Reis en vakantie,Reisbureaus,OAD,https://www.oad.nl/,,
Reis en vakantie,Vervoer,spoordeelwinkel,https://spoordeelwinkel.nachtjeweg.nl/,,
Reis en vakantie,Deelvervoer,MyWheels,https://mywheels.nl/,,
Reis en vakantie,Accomodaties,campings.nl,https://www.campings.nl/,,
Reis en vakantie,Reisbureaus,Corendon,https://www.corendon.nl/,,
Reis en vakantie,Overig,saily,https://saily.com/nl/,,
Reis en vakantie,Vervoer,govolta,https://govolta.nl/nl/,,
Reis en vakantie,Accomodaties,Expedia,https://www.expedia.nl/,,
Reis en vakantie,Reisbureaus,Sunweb,https://www.sunweb.nl/,,
Reis en vakantie,Overig,Parkmobile,https://parkmobile.io/,,
Reis en vakantie,Reisbureaus,sawadee,https://www.sawadee.nl/,,
Reis en vakantie,Vervoer,Cheaptickets.nl,https://www.cheaptickets.nl/,,
Reis en vakantie,Reisbureaus,Eliza was here,https://www.elizawashere.nl/,,
Reis en vakantie,Accomodaties,vakantiehuisjes.nl,https://vakantiehuisjes.nl,,
Reis en vakantie,Reisbureaus,VakantieXperts,https://vx.nl/,,
Reis en vakantie,Reisbureaus,Expedia,https://www.expedia.nl/,,
Reis en vakantie,Reisbureaus,Prijsvrij Vakanties,https://www.prijsvrij.nl/,,
Reis en vakantie,Reisbureaus,Vakantiediscounter,https://www.vakantiediscounter.nl/,,
Reis en vakantie,Accomodaties,Eurocamp,https://www.eurocamp.nl/,,
Reis en vakantie,Deelvervoer,Sixt share,https://www.sixt.nl/,,
Reis en vakantie,Vervoer,Treinreiswinkel,https://www.treinreiswinkel.nl/,,
Reis en vakantie,Reisbureaus,D-reizen,https://www.d-reizen.nl/,,
Reis en vakantie,Accomodaties,Agoda,https://www.agoda.com/nl-nl/,,
Reis en vakantie,Deelvervoer,GoBoony,https://www.goboony.nl/,,
Reis en vakantie,Accomodaties,landall greenparks,https://www.landal.nl/,,
Reis en vakantie,Reisbureaus,Stip Reizen,https://www.stipreizen.nl/,,
Reis en vakantie,Accomodaties,roompot.nl,https://www.roompot.nl/,,
Reis en vakantie,Vervoer,Vliegwinkel.nl,https://Vliegwinkel.nl,,
Reis en vakantie,Accomodaties,belvilla,https://www.belvilla.nl/,,
Reis en vakantie,Vervoer,KLM,https://www.klm.nl/,,
