segment,sub_sector,organisatie,url_homepage,url_support,url_product,url_support_method,url_support_score,url_support_note
Sportwereld,Sportbonden,KNGU (Koninklijke Nederlandse Gymnastiek Unie),https://dutchgymnastics.nl/,https://dutchgymnastics.nl/clubbestuurders/clubondersteuning,,heuristic,9,
Sportwereld,Sportbonden,KNHB (Koninklijke Nederlandse Hockey Bond),https://www.knhb.nl/,https://www.knhb.nl/,,heuristic,9,
Sportwereld,Sportevenementen,WK Roeien Amsterdam,https://2026wramsterdam.nl/,https://2026wramsterdam.nl/faq/,,heuristic,7,
Sportwereld,Sportevenementen,TT Assen (Motorsport),https://www.ttcircuit.com/,,,none,0,llm: no pick
Sportwereld,Sportploegen,Feyenoord (Voetbal),https://www.feyenoord.com/nl/,https://www.feyenoord.com/nl/feyenoord-one/veelgestelde-vragen,,heuristic,7,
Sportwereld,Sportploegen,Team Visma Lease a bike (Wielrennen),https://www.teamvismaleaseabike.nl/,https://www.teamvismaleaseabike.nl/veelgestelde-vragen/,,heuristic,7,
Sportwereld,Sportbonden,KNWU (Koninklijke Nederlandse WielrenUnie),https://www.knwu.nl/,https://www.knwu.nl/kenniscentrum,,llm,0,"Een kenniscentrum is dé plek voor uitleg- en instructievideo's, specifieker dan de algemene contactpagina."
Sportwereld,Sportevenementen,Paralympische Spelen,https://www.paralympic.org/,https://www.paralympic.org/classification/faq,,llm,0,"Specifieke FAQ-pagina, waarschijnlijker locatie voor uitlegvideo's dan de algemene contactpagina."
Sportwereld,Sportbonden,NGF (Koninklijke Nederlandse Golf Federatie),https://www.ngf.nl/,https://www.ngf.nl/uitleg-caddie,,heuristic,7,
Sportwereld,Sportevenementen,FBK Games (Atlethiek),https://www.fbkgames.nl/,https://www.fbkgames.nl/Organisatie/contact,,llm,0,Geen aparte support/FAQ-pagina aanwezig; de contactpagina is de enige hulp-/klantenservice-gerelateerde sectie.
Sportwereld,Sportbonden,KNSB (Koninklijke Nederlandse Schaats Bond),https://knsb.nl/,https://knsb.nl/contact/,,llm,0,Enige klantenservice-/hulpgerichte link; geen aparte support- of FAQ-pagina aanwezig in de navigatie.
Sportwereld,Sportploegen,Ons oranje (Voetbal),https://www.onsoranje.nl/,https://www.onsoranje.nl/supporters/tickets,,llm,0,"Een 'Hoe koop ik kaarten'-pagina is de meest FAQ/help-achtige sectie waar uitlegvideo's te verwachten zijn, specifieker dan de algemene contactpagina."
Sportwereld,Sportevenementen,NOC*NSF,https://nocnsf.nl/,https://www.nocnsf.nl/clubondersteuning,,heuristic,9,
Sportwereld,Sportevenementen,NK Daikin (Schaatsen),https://www.schaatsen.nl/,,,none,0,llm: no pick
Sportwereld,Sportevenementen,NN Marathon Rotterdam (Hardlopen),https://nnmarathonrotterdam.nl/,https://nnmarathonrotterdam.nl/contact/,,llm,0,Geen aparte FAQ/support-pagina aanwezig; de contactpagina is de enige klantenservice-/hulpsectie.
Sportwereld,Sportbonden,KNVB (Koninklijke Nederlandse Voetbal Bond),https://www.knvb.nl/,https://www.knvb.nl/over-ons/contact/vraag-en-antwoord/stel-hier-je-vraag,,heuristic,7,
Sportwereld,Sportbonden,KNKV (Koninklijke Nederlands Korfbalverbond),https://www.knkv.nl/,https://knkv.nl/faq/,,heuristic,7,
