segment,sub_sector,organisatie,url_homepage,url_support,url_product
Sportwereld,Sportbonden,KNGU (Koninklijke Nederlandse Gymnastiek Unie),https://dutchgymnastics.nl/,,
Sportwereld,Sportbonden,KNHB (Koninklijke Nederlandse Hockey Bond),https://www.knhb.nl/,,
Sportwereld,Sportevenementen,WK Roeien Amsterdam,https://2026wramsterdam.nl/,,
Sportwereld,Sportevenementen,TT Assen (Motorsport),https://www.ttcircuit.com/,,
Sportwereld,Sportploegen,Feyenoord (Voetbal),https://www.feyenoord.com/nl/,,
Sportwereld,Sportploegen,Team Visma Lease a bike (Wielrennen),https://www.teamvismaleaseabike.nl/,,
Sportwereld,Sportbonden,KNWU (Koninklijke Nederlandse WielrenUnie),https://www.knwu.nl/,,
Sportwereld,Sportevenementen,Paralympische Spelen,https://www.paralympic.org/,,
Sportwereld,Sportbonden,NGF (Koninklijke Nederlandse Golf Federatie),https://www.ngf.nl/,,
Sportwereld,Sportevenementen,FBK Games (Atlethiek),https://www.fbkgames.nl/,,
Sportwereld,Sportbonden,KNSB (Koninklijke Nederlandse Schaats Bond),https://knsb.nl/,,
Sportwereld,Sportploegen,Ons oranje (Voetbal),https://www.onsoranje.nl/,,
Sportwereld,Sportevenementen,NOC*NSF,https://nocnsf.nl/,,
Sportwereld,Sportevenementen,NK Daikin (Schaatsen),https://www.schaatsen.nl/,,
Sportwereld,Sportevenementen,NN Marathon Rotterdam (Hardlopen),https://nnmarathonrotterdam.nl/,,
Sportwereld,Sportbonden,KNVB (Koninklijke Nederlandse Voetbal Bond),https://www.knvb.nl/,,
Sportwereld,Sportbonden,KNKV (Koninklijke Nederlands Korfbalverbond),https://www.knkv.nl/,,
Sportwereld,Sportbonden,NHV (Nederlandse Handbal verbond),https://handbal.nl/,,
Sportwereld,Sportevenementen,CHIO Rotterdam (Paardensport),https://chio.nl/,,
Sportwereld,Sportevenementen,Nijmeegse Vierdaagse (Wandelen),https://www.4daagse.nl/,,
Sportwereld,Sportbonden,NeVoBo (Nederlandse Volleybal Bond),https://www.nevobo.nl/,,
Sportwereld,Sportploegen,Team Essent (Schaatsen),https://teamessent.nl/,,
Sportwereld,Sportevenementen,Tour de France,https://www.letour.fr/en,,
Sportwereld,Sportbonden,Sportvisunie (Sportvisserij Nederland),https://www.sportvisunie.nl/nl,,
Sportwereld,Sportbonden,Nederlandse Basketball Bond,https://basketball.nl/,,
Sportwereld,Sportevenementen,TataSteel Chess Open (Wijk aan Zee schaken),https://tatasteelchess.com,,
Sportwereld,Sportevenementen,Dutch Grand Prix,https://www.dutchgp.com/,,
Sportwereld,Sportploegen,Reggeborgh (Schaatsen),https://schaatsteamreggeborgh.nl/,,
Sportwereld,Sportbonden,KNRB (Koninklijke Nederlandse Roei Bond),https://knrb.nl/,,
Sportwereld,Sportevenementen,KLM Open (Golf),https://klmopen.nl/,,
Sportwereld,Sportbonden,KNZB (Koninklijke Nederlandse Zwem Bond),https://www.knzb.nl/,,
Sportwereld,Sportbonden,KNHS (Koninklijke Nederlandse Hippische Sportfederatie),https://www.knhs.nl/,,
Sportwereld,Sportploegen,Ajax (Voetbal),https://www.ajax.nl/,,
Sportwereld,Sportbonden,KNLTB (Koninklijke Nederlandse Lawn Tennis Bond),https://www.knltb.nl/,,
Sportwereld,Sportbonden,Atletiekunie,https://www.atletiekunie.nl/,,
Sportwereld,Sportbonden,NDB (Nederlandse Dart Bond),https://www.ndbdarts.nl/,,
Sportwereld,Sportploegen,TeamNL,https://www.teamnl.org/,,
Sportwereld,Sportevenementen,Amstel Gold Race,https://www.amstel.nl/amstelgoldrace,,
Sportwereld,Sportevenementen,FIH Hockey World Cup,https://hockeyworldcup2026.nl/,,
Sportwereld,Sportploegen,PSV (Voetbal),https://www.psv.nl/,,
Sportwereld,Sportevenementen,ABN AMRO Open (Tennis),https://www.abnamro-open.nl/,,
Sportwereld,Sportevenementen,Olympische Spelen,https://www.olympics.com/en/milano-cortina-2026,,
