segment,sub_sector,organisatie,url_homepage,url_support,url_product,url_support_method,url_support_score,url_support_note
Wonen,Woning zoeken en woningaanbodplatforms,Funda,https://www.funda.nl/,https://help.funda.nl/hc/nl/categories/200207038,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Wonen,Woning zoeken en woningaanbodplatforms,Pararius,https://www.pararius.nl/,https://www.pararius.nl/info/veelgestelde-vragen-woningzoekenden,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Wonen,Woning zoeken en woningaanbodplatforms,Huurwoningen.nl,https://www.huurwoningen.nl/,https://www.huurwoningen.nl/content/klantenservice/,,heuristic,10,"linktekst: ""Klantenservice"""
Wonen,Woning zoeken en woningaanbodplatforms,Huispedia,https://huispedia.nl/,https://huispedia.nl/help,,heuristic,8,"linktekst: ""Help"""
Wonen,Woning zoeken en woningaanbodplatforms,Kamernet,https://kamernet.nl/,https://support.kamernet.nl/en,,llm,0,Het support-subdomein is de dedicated klantenservice/helpsectie waar instructievideo's te verwachten zijn.
Wonen,Woning zoeken en woningaanbodplatforms,Huurstunt,https://www.huurstunt.nl/,https://www.huurstunt.nl/hulp,,heuristic,8,"linktekst: ""Hulp"""
Wonen,Woning zoeken en woningaanbodplatforms,RentSlam,https://rentslam.com/,https://rentslam.com/faq/,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Wonen,Woning zoeken en woningaanbodplatforms,Stekkies,https://www.stekkies.com/,https://www.stekkies.com/en/how-it-works,,llm,0,Specifieke uitlegpagina waar instructie-/uitlegvideo's het meest waarschijnlijk staan; er is geen aparte support/FAQ-sectie.
Wonen,Woning zoeken en woningaanbodplatforms,Huislijn,https://www.huislijn.nl/,https://www.huislijn.nl/nl/contact,,llm,0,Geen aparte support/FAQ-pagina aanwezig; contact is de enige hulp-gerelateerde link.
Wonen,Woning zoeken en woningaanbodplatforms,Huurportaal/Rentola,https://huurportaal.nl/,https://faq.huurportaal.nl/hc/nl-nl,,heuristic,7,"linktekst: ""FAQ"""
Wonen,Woning zoeken en woningaanbodplatforms,Direct Wonen,https://directwonen.nl/,,,none,0,llm: no pick
Wonen,Woning zoeken en woningaanbodplatforms,WoningNet,https://www.woningnet.nl/,,,none,0,no internal links
Wonen,Commerciële verhuur,Vestide,https://www.vestide.nl/,https://www.vestide.nl/regelen/service-en-contact,,llm,0,"Service-en-contactpagina onder 'regelen' is de meest waarschijnlijke plek voor klantenservice/hulp en uitlegvideo's, specifieker dan de algemene contactpagina."
Wonen,Commerciële verhuur,Holland2Stay,https://holland2stay.com/,https://www.holland2stay.com/faq,,heuristic,8,"linktekst: ""Help"""
Wonen,Commerciële verhuur,Xior Student Housing,https://www.xior.nl/,,,none,0,no internal links
Wonen,Commerciële verhuur,The Social Hub,https://www.thesocialhub.co/,https://support.thesocialhub.co/hc,,heuristic,8,"linktekst: ""Help center"""
Wonen,Commerciële verhuur,Plaza Resident Services,https://www.plazaresidentservices.com/,https://www.plazaresidentservices.com/nl-nl/contact,,llm,0,Geen aparte FAQ/support-pagina aanwezig; contact is de enige hulp-/klantenservice-ingang.
Wonen,Commerciële verhuur,MVGM Wonen,https://www.mvgm.nl/,,,none,0,llm: no pick
Wonen,Commerciële verhuur,Heimstaden,https://heimstaden.com/nl/,https://heimstaden.com/nl/klantenservice/,,heuristic,10,"linktekst: ""Klantenservice"""
Wonen,Commerciële verhuur,Amvest,https://www.amvest.nl/,https://www.amvest.nl/voor-huurders/,,llm,0,"De huurderspagina is de meest klantgerichte support-sectie waar uitleg en hulp voor bewoners te verwachten is, specifieker dan de algemene contactpagina."
Wonen,Commerciële verhuur,Bouwinvest,https://www.bouwinvest.com/,https://bouwinvest.com/contact/,,llm,0,Geen aparte support/FAQ/help-sectie aanwezig; Contact is de enige klantgerichte hulppagina.
Wonen,Commerciële verhuur,Greystar,https://www.greystar.com/nl/,,,none,0,llm: no pick
Wonen,Commerciële verhuur,Change=,https://change-is.com/,https://www.change-is.com/nl/contact,,llm,0,Geen aparte support/FAQ-pagina aanwezig; de contactpagina is het dichtst bij een hulp-/klantenservicesectie.
Wonen,Commerciële verhuur,OurDomain,https://www.ourdomain.nl/,,,none,0,llm: no pick
Wonen,Commerciële verhuur,Camelot Europe,https://nl.cameloteurope.com/,,,none,0,no internal links
