segment,sub_sector,organisatie,url_homepage,url_support,url_product
Wonen,Woning zoeken en woningaanbodplatforms,Funda,https://www.funda.nl/,,
Wonen,Woning zoeken en woningaanbodplatforms,Pararius,https://www.pararius.nl/,,
Wonen,Woning zoeken en woningaanbodplatforms,Huurwoningen.nl,https://www.huurwoningen.nl/,,
Wonen,Woning zoeken en woningaanbodplatforms,Huispedia,https://huispedia.nl/,,
Wonen,Woning zoeken en woningaanbodplatforms,Kamernet,https://kamernet.nl/,,
Wonen,Woning zoeken en woningaanbodplatforms,Huurstunt,https://www.huurstunt.nl/,,
Wonen,Woning zoeken en woningaanbodplatforms,RentSlam,https://rentslam.com/,,
Wonen,Woning zoeken en woningaanbodplatforms,Stekkies,https://www.stekkies.com/,,
Wonen,Woning zoeken en woningaanbodplatforms,Huislijn,https://www.huislijn.nl/,,
Wonen,Woning zoeken en woningaanbodplatforms,Huurportaal/Rentola,https://huurportaal.nl/,,
Wonen,Woning zoeken en woningaanbodplatforms,Direct Wonen,https://directwonen.nl/,,
Wonen,Woning zoeken en woningaanbodplatforms,WoningNet,https://www.woningnet.nl/,,
Wonen,Commerciële verhuur,Vestide,https://www.vestide.nl/,,
Wonen,Commerciële verhuur,Holland2Stay,https://holland2stay.com/,,
Wonen,Commerciële verhuur,Xior Student Housing,https://www.xior.nl/,,
Wonen,Commerciële verhuur,The Social Hub,https://www.thesocialhub.co/,,
Wonen,Commerciële verhuur,Plaza Resident Services,https://www.plazaresidentservices.com/,,
Wonen,Commerciële verhuur,MVGM Wonen,https://www.mvgm.nl/,,
Wonen,Commerciële verhuur,Heimstaden,https://heimstaden.com/nl/,,
Wonen,Commerciële verhuur,Amvest,https://www.amvest.nl/,,
Wonen,Commerciële verhuur,Bouwinvest,https://www.bouwinvest.com/,,
Wonen,Commerciële verhuur,Greystar,https://www.greystar.com/nl/,,
Wonen,Commerciële verhuur,Change=,https://change-is.com/,,
Wonen,Commerciële verhuur,OurDomain,https://www.ourdomain.nl/,,
Wonen,Commerciële verhuur,Camelot Europe,https://nl.cameloteurope.com/,,
Wonen,Commerciële verhuur,Interhouse,https://www.interhouse.nl/,,
Wonen,Commerciële verhuur,Rotsvast,https://www.rotsvast.nl/,,
Wonen,Studentenhuisvesting,DUWO,https://www.duwo.nl/,,
Wonen,Studentenhuisvesting,ROOM,https://www.room.nl/,,
Wonen,Studentenhuisvesting,SSH,https://www.sshxl.nl/,,
Wonen,Studentenhuisvesting,Studentenwoningweb,https://www.studentenwoningweb.nl/,,
Wonen,Studentenhuisvesting,Kamernet,https://kamernet.nl/,,
Wonen,Studentenhuisvesting,Holland2Stay,https://holland2stay.com/,,
Wonen,Studentenhuisvesting,Idealis,https://www.idealis.nl/,,
Wonen,Studentenhuisvesting,Student Experience,https://www.studentexperience.nl/,,
Wonen,Sociale huur en woningcorporaties,Actium,https://www.actiumwonen.nl/,,
Wonen,Sociale huur en woningcorporaties,Centrada,https://www.centrada.nl/,,
Wonen,Sociale huur en woningcorporaties,WoonFriesland,https://www.woonfriesland.nl/,,
Wonen,Sociale huur en woningcorporaties,Vivare,https://www.vivare.nl/,,
Wonen,Sociale huur en woningcorporaties,Lefier,https://www.lefier.nl/,,
Wonen,Sociale huur en woningcorporaties,Wonen Limburg,https://www.wonenlimburg.nl/,,
Wonen,Sociale huur en woningcorporaties,Stichting Woonbedrijf,https://www.woonbedrijf.com/,,
Wonen,Sociale huur en woningcorporaties,Ymere,https://www.ymere.nl/,,
Wonen,Sociale huur en woningcorporaties,de Alliantie,https://www.de-alliantie.nl/,,
Wonen,Sociale huur en woningcorporaties,Woningstichting Eigen Haard,https://www.eigenhaard.nl/,,
Wonen,Sociale huur en woningcorporaties,Woningcorporatie De Woonplaats,https://www.dewoonplaats.nl/,,
Wonen,Sociale huur en woningcorporaties,Woningcorporatie Portaal,https://www.portaal.nl/,,
Wonen,Sociale huur en woningcorporaties,Woonin,https://www.woonin.nl/,,
Wonen,Sociale huur en woningcorporaties,Cazas Wonen,https://www.cazaswonen.nl/,,
Wonen,Sociale huur en woningcorporaties,Stadlander,https://www.stadlander.nl/,,
Wonen,Sociale huur en woningcorporaties,Stichting Woonstad Rotterdam,https://www.woonstadrotterdam.nl/,,
Wonen,Sociale huur en woningcorporaties,Stichting Havensteder,https://www.havensteder.nl/,,
Wonen,Sociale huur en woningcorporaties,Staedion,https://www.staedion.nl/,,
