segment,sub_sector,organisatie,url_homepage,url_support,url_product,url_support_method,url_support_score,url_support_note
Zorg,Ziekenhuizen en ziekenhuisgroepen,Amsterdam UMC,https://www.amsterdamumc.nl/,https://www.amsterdamumc.nl/nl/spoed,,heuristic,8,"linktekst: ""Spoedeisende Hulp (SEH)"""
Zorg,Ziekenhuizen en ziekenhuisgroepen,UMC Utrecht,https://www.umcutrecht.nl/,https://www.umcutrecht.nl/nl/voorbereiden-op-uw-afspraak-of-behandeling,,llm,0,Voorbereidingspagina voor afspraak/behandeling is de meest waarschijnlijke plek voor instructie- en uitlegvideo's voor patiënten.
Zorg,Ziekenhuizen en ziekenhuisgroepen,Erasmus MC,https://www.erasmusmc.nl/,https://www.erasmusmc.nl/nl-nl/patientenzorg/ondersteuning-en-begeleiding,,heuristic,9,"linktekst: ""Ondersteuning en begeleiding"""
Zorg,Ziekenhuizen en ziekenhuisgroepen,Radboudumc,https://www.radboudumc.nl/,https://www.radboudumc.nl/en/research/support-and-quality,,heuristic,9,"linktekst: ""Support en kwaliteit"""
Zorg,Ziekenhuizen en ziekenhuisgroepen,Maastricht UMC+,https://www.mumc.nl/,https://www.mumc.nl/patient-bezoeker/ondersteuning-en-begeleiding,,heuristic,9,"linktekst: ""Ondersteuning en begeleiding"""
Zorg,Ziekenhuizen en ziekenhuisgroepen,LUMC,https://www.lumc.nl/,https://www.lumc.nl/actueel/2026/prijzen-subsidies-en-benoemingen-29-mei-2026/,,heuristic,9,"linktekst: ""Koninklijke Onderscheiding, SURF Research Support Luminary Award, LUF-subsidies,"""
Zorg,Ziekenhuizen en ziekenhuisgroepen,UMC Groningen,https://www.umcg.nl/,https://www.umcg.nl/-/contact-met-het-umcg,,llm,0,Geen support/FAQ-pagina aanwezig; contactpagina is de dichtstbijzijnde hulp-/serviceingang.
Zorg,Ziekenhuizen en ziekenhuisgroepen,Catharina Ziekenhuis,https://www.catharinaziekenhuis.nl/,https://www.catharinaziekenhuis.nl/afdelingen/spoedeisende-hulp-huisartsenpost/,,heuristic,8,"linktekst: ""Spoedeisende Hulp"""
Zorg,Ziekenhuizen en ziekenhuisgroepen,St. Antonius Ziekenhuis,https://www.antoniusziekenhuis.nl/,https://www.antoniusziekenhuis.nl/huisartsenspoedpost-en-spoedeisende-hulp,,heuristic,8,"linktekst: ""Huisartsenpost en Spoedeisende Hulp"""
Zorg,Ziekenhuizen en ziekenhuisgroepen,Isala,https://www.isala.nl/,,,none,0,no internal links
Zorg,Ziekenhuizen en ziekenhuisgroepen,Máxima MC,https://www.mmc.nl/,https://www.mmc.nl/patienten-en-bezoekers/veelgestelde-vragen/,,heuristic,7,"linktekst: ""veelgestelde vragen"""
Zorg,Ziekenhuizen en ziekenhuisgroepen,Jeroen Bosch Ziekenhuis,https://www.jeroenboschziekenhuis.nl/,https://www.jeroenboschziekenhuis.nl/medische-informatie,,llm,0,"Medische-informatie is de sectie waar patiënten uitleg over aandoeningen/behandelingen vinden, meest waarschijnlijke plek voor instructie-/uitlegvideo's."
Zorg,Ziekenhuizen en ziekenhuisgroepen,Noordwest Ziekenhuisgroep,https://www.nwz.nl/,https://www.nwz.nl/mijn-noordwest/,,llm,0,Patiëntenportaal 'Mijn Noordwest' is de meest waarschijnlijke plek voor uitleg-/instructievideo's over gebruik van de digitale dienst; een echte support/FAQ-sectie ontbreekt in de links.
Zorg,Ziekenhuizen en ziekenhuisgroepen,OLVG,https://www.olvg.nl/,https://www.olvg.nl/het-patienten-servicepunt/,,llm,0,"Het patiëntenservicepunt is het centrale hulp-/serviceloket voor patiëntenvragen, dichter bij support/FAQ dan een algemene contactpagina."
Zorg,Ziekenhuizen en ziekenhuisgroepen,HagaZiekenhuis,https://www.hagaziekenhuis.nl/,https://www.hagaziekenhuis.nl/veelgestelde-vragen,,heuristic,7,"linktekst: ""geenVeelgestelde vragen"""
Zorg,Ziekenhuizen en ziekenhuisgroepen,Rijnstate,https://www.rijnstate.nl/,,,none,0,no internal links
Zorg,Ziekenhuizen en ziekenhuisgroepen,Zuyderland,https://www.zuyderland.nl/,https://zuyderland.nl/ziekenhuis/patientinformatie/klantcontactcentrum/aanvraag-inzien-eigen-medische-gegevens/,,heuristic,10,"linktekst: ""Medisch dossier opvragen"""
Zorg,Ziekenhuizen en ziekenhuisgroepen,Medisch Spectrum Twente,https://www.mst.nl/,https://www.mst.nl/voor-patienten/,,llm,0,"De patiëntensectie bevat de praktische uitleg, voorbereidingen en instructie-/uitlegvideo's voor patiënten, dichter bij support/FAQ dan de algemene contactpagina."
Zorg,Ziekenhuizen en ziekenhuisgroepen,Franciscus Gasthuis & Vlietland,https://www.franciscus.nl/,https://www.franciscus.nl/uw-opname,,llm,0,Patiënt-voorbereidingssectie waar instructie-/uitlegvideo's over opname het meest waarschijnlijk staan; geen aparte FAQ/support-pagina aanwezig.
Zorg,Ziekenhuizen en ziekenhuisgroepen,Amphia,https://www.amphia.nl/,https://www.amphia.nl/patienten-en-bezoekers/mijnamphia/veelgestelde-vragen,,heuristic,7,"linktekst: ""Veelgestelde vragen mijnAmphia"""
Zorg,Huisartsen,Arts en Zorg,https://www.artsenzorg.nl/,https://www.artsenzorg.nl/faq,,heuristic,7,"linktekst: ""FAQ"""
Zorg,Huisartsen,Onze Huisartsen,https://www.onzehuisartsen.nl/,https://www.onzehuisartsen.nl/praktijkvoering/ondersteuning-in-de-huisartsenpraktijk/,,heuristic,9,"linktekst: ""Ondersteuning in de huisartsenpraktijk"""
Zorg,Huisartsen,Huisartsen Eemland,https://huisartseneemland.nl/,https://huisartseneemland.nl/praktijkvoering/hr-ondersteuning/,,heuristic,9,"linktekst: ""Arbeidsmarkt"""
Zorg,Huisartsen,RegiozorgNU,https://www.regiozorgnu.nl/,https://www.regiozorgnu.nl/praktijkondersteuning/,,heuristic,9,"linktekst: ""Praktijkondersteuning"""
Zorg,Huisartsen,De huisartsenconnectie,https://www.dehuisartsenconnectie.nl/,https://www.dehuisartsenconnectie.nl/projecten-programmas/project-digitale-ondersteuning-voor-patienten-zeeland,,heuristic,9,"linktekst: ""Lees verder over Project 'Digitale Ondersteuning voor Patiënten in Zeeland'"""
Zorg,Huisartsen,Zorroo,https://www.zorroo.nl/,https://www.zorroo.nl/zelf-zorgzaken-regelen/,,llm,0,"De 'Zelf regelen'-sectie biedt zelfservice/uitleg over zorgzaken regelen, waar instructievideo's het meest waarschijnlijk staan."
Zorg,Huisartsen,Mediis,https://www.mediis.nl/,https://www.mediis.nl/contact,,llm,0,Geen aparte support/FAQ-pagina aanwezig; contact is de enige klantenservice-/hulpingang.
Zorg,Huisartsen,Huisarts en Zorg / HenZ,https://www.huisartsenzorg.nl/,https://www.huisartsenzorg.nl/contact-huisarts-en-zorg/,,llm,0,Geen aparte support/FAQ-sectie aanwezig; de contactpagina is de enige hulp-/serviceingang.
Zorg,Huisartsen,Amsterdamse Huisartsenalliantie,https://www.amsterdamsehuisartsen.nl/,https://www.amsterdamsehuisartsen.nl/nieuws-en-agenda/sneller-de-juiste-hulp-op-de-juiste-plek-met-het-verkennend-gesprek/,,heuristic,8,"linktekst: ""Sneller de juiste hulp op de juiste plek met het verkennend gesprek 27-05-2026Ji"""
Zorg,Huisartsen,Buurtdokters,https://www.buurtdokters.net/,https://www.buurtdokters.net/faq,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Zorg,Gehandicaptenzorg,’s Heeren Loo,https://www.sheerenloo.nl/,https://www.sheerenloo.nl/hulp-thuis,,heuristic,9,"linktekst: ""Hulp en ondersteuning voor thuis"""
Zorg,Gehandicaptenzorg,Philadelphia Zorg,https://www.philadelphia.nl/,https://www.philadelphia.nl/ondersteuning,,heuristic,9,"linktekst: ""Ondersteuning"""
Zorg,Gehandicaptenzorg,Ipse de Bruggen,https://www.ipsedebruggen.nl/,https://www.ipsedebruggen.nl/contact,,llm,0,Geen aparte support/FAQ-pagina in de links; algemene contactpagina is het dichtst bij klantenservice.
Zorg,Gehandicaptenzorg,Amerpoort,https://www.amerpoort.nl/,,,none,0,no internal links
Zorg,Gehandicaptenzorg,Bartiméus,https://www.bartimeus.nl/,https://bartimeus.nl/contact,,llm,0,Geen specifieke support/FAQ-pagina aanwezig; Contact is de enige klantenservice-achtige sectie.
Zorg,Gehandicaptenzorg,Koninklijke Visio,https://www.visio.org/,https://www.visio.org/overzicht-ervaringsverhalen/leon-13-met-een-beetje-hulp-lukt-het-allemaal,,heuristic,8,"linktekst: ""Leon (13) ""Met een beetje hulp lukt het allemaal!"""""
Zorg,Gehandicaptenzorg,Kentalis,https://www.kentalis.nl/,https://www.kentalis.nl/contact,,llm,0,Geen aparte support/FAQ-sectie aanwezig; contactpagina is de enige hulp-/klantenservice-ingang.
Zorg,Gehandicaptenzorg,Pluryn,https://www.pluryn.nl/,,,none,0,llm: no pick
Zorg,Gehandicaptenzorg,Siza,https://www.siza.nl/,https://www.siza.nl/contact,,llm,0,Geen aparte support/FAQ-pagina aanwezig; contactpagina is de dichtstbijzijnde hulp-/servicesectie.
Zorg,Gehandicaptenzorg,Cordaan,https://www.cordaan.nl/,https://www.cordaan.nl/jeugd/hulp-in-het-gezin/,,heuristic,8,"linktekst: ""Hulp in het gezin"""
Zorg,Gehandicaptenzorg,Middin,https://www.middin.nl/,https://www.middin.nl/hulp-voor-jou,,heuristic,8,"linktekst: ""Hulp voor jou"""
